Row1 Row2 Row3 Row4 Row5 Row6 Row7 Row8 Row9 Row10 Row11 Row12 Row13 Row14 Row15 Row16 Row17 Row18 Row19 Row20 Row21 Row22 Row23 Row24 Row25 Row26 Row27 Row28 Row29 Row30 Row31 Row32 Row33 Row34 Row35 Row36 Row37 Row38 Row39 Row40 Row41 Row42 Row43 Row44 Row45 Row46 Row47 Row48 Row49 Row50 Row51 Row52 Row53 Row54 Row55 Row56 Row57 Row58 Row59 Row60 Row61 Row62 Row63 Row64
6285 -2000 9460 1855 -2000 9529 1838 -1999 5734 -1999 9222 3342 -1999 7895 3405 -2000 7972 -2000 9664 5342 -2000 9169 2554 -2000 7734 2467 7940 8716 -1999 9551 3851 -1999 8465 1890 -2000 7845 5774 9536 3130 -2000 8082 1919 -2000 8052 1015 9172 4772 -2000 9371 3909 -2000 8816 3900 8857 6087 -1999 8359 3062 -2000 9283 2527 -1999 7949 4172
6579 -2000 9402 1892 -2000 9110 2350 -2000 6361 -1999 9222 3325 -1999 8019 2308 -1999 7579 -2000 8663 6070 -2000 9066 2419 -2000 7221 2594 9108 6146 -2000 9008 3537 -1999 8521 2200 -2000 7883 5715 9763 5931 -1999 8524 1850 -2000 8052 944 9170 4713 -2000 9576 2638 -2000 8532 3987 9009 7801 -1999 8181 3177 -1999 9255 2288 -1999 8459 4172
6437 -2000 9610 1948 -2000 8842 3499 -1999 8126 -1999 9525 3357 -1999 8906 2173 -2000 8463 -2000 9048 6138 -2000 9007 2379 -2000 9175 2534 8685 6062 -2000 9203 3823 -2000 8558 2277 -2000 7749 5896 8698 5931 -1999 8449 1850 -2000 8315 944 9170 5022 -2000 9631 4601 -1999 8583 4231 8793 7734 -2000 8600 3273 -2000 9305 3504 -1999 7578 4827
6484 -1999 9885 3220 -2000 9597 2748 -2000 8309 -1999 8779 3673 -2000 8793 2255 -2000 8597 -2000 7638 5987 -2000 9206 2498 -2000 9175 3041 8685 5869 -2000 9183 3941 -2000 8558 3977 -2000 7790 6561 8163 3482 -1999 8185 2652 -2000 8219 900 9262 5031 -2000 9648 2838 -1999 7984 5273 9739 7501 -1999 8983 4573 -2000 9109 2247 -1999 8126 4928
6557 -2000 9885 2389 -1999 9326 2682 -2000 8936 -1999 9036 3673 -1999 9107 2251 -2000 9490 -2000 9165 5414 -2000 9670 2498 -1999 9115 3041 8797 7316 -2000 9146 4084 -2000 8524 1547 -2000 7911 6829 7208 3467 -1999 8185 6405 -2000 8254 894 9633 5255 -2000 9400 4947 -1999 8776 5104 9816 6992 -1999 9115 4210 -2000 8805 3374 -1999 7213 4928
6665 -2000 9586 2421 -1999 9161 3904 -2000 6724 -1999 9037 3603 -2000 9116 2038 -2000 3714 -2000 9445 5242 -2000 9891 2411 -2000 8938 3043 7937 7411 -2000 9031 4084 -2000 9338 1717 -2000 7748 5721 9558 3467 -1999 7493 6405 -2000 9304 924 9633 5338 -2000 9400 4947 -1999 8533 3684 8448 6763 -2000 9115 3877 -2000 8805 3987 -2000 7213 4770
6006 -2000 9174 2421 -1999 8103 9191 -2000 8344 -1999 9648 3343 -2000 9116 1845 -1999 2758 -2000 8485 4934 -2000 9545 2632 -1999 8733 6820 7809 8430 -2000 8777 3777 -2000 9586 2078 -1999 7514 5544 9558 3294 -1999 7502 4559 -1999 9653 856 9633 5630 -2000 9179 5811 -1999 8533 3574 8742 6692 -2000 9088 3937 -2000 8674 2216 -2000 7683 5227
5647 -2000 9451 2329 -2000 7736 2676 -2000 8882 -1999 9317 3328 -1999 8856 1940 -1999 4870 -2000 7954 4602 -2000 9703 6315 -1999 8690 3079 8395 8065 -2000 9009 3751 -1999 9188 1948 -2000 7184 5802 9150 3344 -1999 7793 2038 -2000 8615 933 9867 6012 -2000 9863 4583 -2000 8339 3619 8439 6998 -1999 9109 5872 -1999 9389 2641 -2000 8361 4449
5026 -2000 9925 2257 -2000 7733 2412 -1999 9601 -1999 9640 3349 -1999 8869 1714 -2000 5858 -2000 7310 4874 -2000 9703 2736 -2000 9208 2659 8682 7043 -2000 8851 3853 -2000 9092 3212 -2000 7188 5456 9150 3541 -1999 8299 2547 -2000 8951 936 9235 6012 -2000 9863 2856 -1999 9970 4440 8236 7009 -1999 8966 5872 -2000 8456 5542 -2000 7451 4552
5742 -2000 9596 2223 -1999 8729 2577 -1999 7843 -1999 8930 3348 -1999 8851 1641 -1999 7232 1744 8104 4301 -2000 8715 2917 -1999 8349 2576 8666 6220 -2000 9382 3660 -1999 9092 5876 -2000 7304 5580 8604 3337 -2000 8786 1953 -2000 8519 932 9392 6441 -2000 8998 2856 -1999 9210 6592 7684 7203 -2000 8904 3383 -2000 9004 3830 -2000 7414 4552
5943 -1999 9072 2223 -1999 9089 2577 -2000 7880 -1999 9020 3266 -1999 9222 1641 -2000 8328 1607 6480 4548 -2000 8904 2133 -2000 8345 2585 9330 9345 -2000 9495 4144 -1999 9198 2832 -1999 6298 5469 9011 3648 -2000 8786 1914 -1999 9098 933 9392 6498 -2000 9327 2970 -2000 8716 2711 7782 7665 -1999 8721 4146 -2000 9100 2209 -2000 7737 4257
5943 -2000 9279 2075 -2000 9595 2128 -1999 7880 -1999 9243 3362 -2000 9306 1831 -2000 8328 1297 6390 6384 -2000 9013 2031 -1999 8129 2558 9144 6390 -2000 9022 4203 -2000 9217 3324 -1999 6640 5289 8139 3330 -2000 8664 1927 -1999 8585 893 9427 6507 -2000 9195 4027 -2000 9336 2611 8363 7312 -2000 8872 4021 -2000 9335 2342 -2000 6919 4427
5981 -2000 9162 2069 -1999 9644 2146 -2000 8385 -1999 9651 3391 -2000 9394 1795 -2000 9376 769 6482 6899 -2000 8921 1986 -2000 8044 2573 9200 6390 -2000 9589 4123 -1999 9133 1782 -2000 6913 5263 8329 3330 -1999 8742 2030 -2000 8583 906 8397 6865 -2000 8771 6391 -2000 9289 2442 8445 6621 -2000 8774 4561 -1999 9619 3273 -2000 7757 4724
6064 -2000 8711 1864 -1999 9529 2500 -1999 8645 -1999 9846 3446 -2000 9302 1813 -2000 8840 769 6691 6294 -2000 8953 3235 -2000 9388 2055 8897 5461 -2000 9660 3828 -1999 9567 1411 -2000 6913 5085 9007 3352 -2000 8820 6282 -1999 8192 890 8464 7328 -2000 8614 6883 -1999 9289 2351 8691 7011 -2000 8187 4090 -2000 9197 3135 -2000 8428 4607
9151 -1999 8822 3869 -1999 9154 3303 -2000 9321 -1999 9388 3570 -1999 9595 1991 -2000 9096 967 7754 6088 -1999 8921 3036 -2000 8142 2055 8897 4624 -2000 9817 3749 -2000 9498 1640 -1999 5802 4988 7869 3679 -2000 8691 2012 -2000 8391 844 7007 6043 -2000 9005 3305 -1999 8546 3158 9034 4407 -1999 9125 2915 -2000 8827 2803 -2000 8500 4221
5956 -1999 9380 2063 -1999 9154 3094 -2000 9275 -1999 9604 3486 -2000 9072 1665 -2000 8909 965 7893 6152 -1999 8921 5041 -2000 7667 2078 8375 6055 -2000 9713 3562 -1999 9576 1640 -2000 6547 5237 9944 3936 -2000 8261 2047 -2000 8474 864 8436 6189 -2000 7869 5234 -2000 8411 3711 9225 4323 -1999 9125 2961 -1999 8051 3252 -1999 9126 4242
6740 -2000 9934 2781 -2000 9600 2928 -1999 9579 -1999 9953 3486 -1999 9440 1670 -2000 9088 1163 7729 5961 -1999 9692 4522 -1999 8039 2188 9426 6896 -2000 9671 3528 -1999 9538 1665 -2000 7000 5269 9107 3862 -2000 8357 2137 -2000 7834 950 8436 6303 -2000 8557 6087 -2000 8949 3366 9276 3965 -2000 9173 2865 -2000 9354 3252 -1999 9320 4528
5492 -1999 9329 3156 -1999 9563 2828 -2000 7421 -1999 9151 3435 -1999 9440 1518 -2000 8659 1441 7474 5961 -1999 9514 4281 -2000 8438 2195 9272 6992 -2000 9346 3556 -1999 9825 1665 -2000 8971 5363 9667 4116 -2000 8253 2137 -2000 7400 910 8660 5749 -2000 9112 3103 -2000 9977 9605 9727 4923 -2000 8260 3021 -2000 8625 3439 -2000 9320 4644
4851 -2000 8465 2383 -1999 9852 2898 -2000 6723 -2000 9571 3345 -1999 8895 1677 -2000 8667 2458 8355 5578 -1999 9956 4311 -1999 8255 2120 8919 6992 -1999 9143 3702 -1999 9363 1847 -2000 8374 8558 9151 3899 -1999 8749 1970 -2000 7821 910 9283 4764 -2000 9454 2296 -2000 9501 2765 8767 5925 -2000 9319 3674 -2000 8625 3114 -2000 7935 4497
5348 -2000 9019 2348 -1999 9317 2776 -1999 6871 -2000 8335 3523 -1999 8826 1760 -2000 8473 8191 8263 4280 -2000 9539 3834 -2000 7665 2208 8834 5481 -1999 8832 3337 -1999 9237 1847 -2000 8074 5251 8971 3899 -1999 8512 1944 -1999 7815 898 8662 5308 -2000 9396 2754 -1999 8495 2746 9422 6688 -2000 8911 3435 -2000 9165 3231 -2000 9707 4435
6829 -1999 9951 2690 -1999 9678 2452 -1999 6871 -1739 9904 3652 -1999 8806 1815 -2000 8387 3235 8667 4605 -2000 9205 2545 -2000 7665 2208 8827 7671 -1999 8256 3337 -1999 9553 1600 -2000 6436 5409 9284 3654 -2000 8662 2054 -2000 8039 918 8115 4690 -2000 8909 5429 -2000 8459 2567 8583 5964 -2000 8911 2975 -2000 9165 3500 -2000 8467 4328
